match	key	sent	heard	stress
0.79	attacktotem	Атакуй тотем	атакуюті тотам	+а т+ак +у й т+о т+ам
0.80	attackshield	Атакуй щит	а також щет	+а т+ак ущ+ит
0.80	dpsmore	Більше де-пе-ес	більше дпс	б+ільше дпс
0.80	findshield	Знайди щит	знайбілщит	зн+ай дещ+ит
0.80	paranoiayou	Параноя на тобі	поранує на тобі	пор+анує н+а тоб+і
0.80	throweyetank	Кинь око танку	киньвого котанку	к+иньво кот+енку
0.82	movetoegg	Іди до яйця	іди до ятся	і д+идується
0.83	events/pull	Пулимо	полима	п+улемо
0.84	throweyehealer	Кинь око хілеру	киньвоокофілеру	к+иньово кох+ілеру
0.84	peaceaura	Аура миру	аурамеру	+а +у р+амиру
0.85	dpsslow	Повільніше де-пе-ес	повільніше дпс	повільн+іше дпс
0.86	melodic	Мелодія	мелодії	мел+одіє
0.86	transporter	Транспортер	транспорти	тр+анспорти
0.86	wrathaura	Аура гніву	а у рахніву	+а у р+агніву
0.87	dpshard	де-пе-ес на повну	дпс наповно	д+е пс н+ап+овну
0.87	dpsstop	Стоп де-пе-ес	стопдпс	ст+оп д+епес
0.88	events/victory	Перемога!	перемоги	перем+оги
0.88	shieldover	Щит зник	щідзник	щ+и дзн+ик
0.88	breakvine	Розірви лозу	роззір вилозу	пр+озір в+илозу
0.88	attackbloodthirster	Атакуй кровожера	атакуі кровожира	+а т+аку й кр+овожир+а
0.88	bleedyou	Кровотеча на тобі	кровотичи на тобі	кров+оти ч+и н+а тоб+і
0.88	voidyou	Порожнеча на тобі	порожничи на тобі	порожн+ичи н+а тоб+і
0.89	didi	Ді-ді	діді	д+іді
0.89	doubleat	Молотіння	молочіння	молот+іннє
0.89	frontal	Конус	кону	к+онос
0.89	slamincoming	Скоро удар	скороуда	скор+о вд+а
0.89	touchwhiteshrooms	Торкнись білих рун	торкниць білих рум	т+орк н+изь б+іли хр+у
0.90	darknessyou	Темрява на тобі	тимбрява натобі	т+имряван+а тоб+і
0.90	enrage	Зніми лють	зніми людь	з н+імил+ють
0.91	bossout	Виведи боса	вивади боса	в+ивади б+оса
0.91	chainboss	Прикуй боса	прикую боси	прик+уй б+осе
0.91	screwup	Ти невдаха	истина вдаха	т+и н+е в д+аха
0.91	tankheal	Лікуй танка	лікую танка	л+іку +і т+анка
0.91	Thogar/E3	Колія три: лісоруб	коліатри лісороб	колі+я тр+и лісо р+об
0.92	attacktank	Атакуй танк	атакую танк	+а т+ак +уй т+анк
0.92	attleft	Атакуй зліва	атаку із ліва	+а т+аку зл+іва
0.92	changecolor	Зміни колір	змінний колір	зм+іни к+оля
0.92	findwolf	Знайди вовка	знайде вовка	зн+айде в+овка
0.92	killmine	Атакуй міну	атакує міну	+а т+аку й м+іну
0.92	killspirit	Атакуй духа	атакує духа	+а т+ак +уй д+уха
0.92	markedfordeath	Мітка смерті	нітка смерті	н+ітка см+ерті
0.92	stopchargewithline	Зупини ривок лінією	зупини ривок лінею	зуп+инерив ок л+інєю
0.92	attbomb	Атакуй бомбу	атакує бомбу	+а т+аку й б+омбу
