1695gorak	gorak on the boat	Ґорак на човні
1695uktar	uktar on the boat	Уктар на човні
1695ukurogg	uk'urogg on the boat	Укуроґ на човні
absorbyou	absorb on you	Поглинання на тобі
aesoon	AoE incoming	Скоро АОЕ
arrowyou	arrow on you	Стріла на тобі
artillery	Artillery	Артилерія
attackblood	attack Blood Globule	Атакуй кулю крові
attackbloodthirster	attack Bloodthirster	Атакуй кровожера
attackcannon	attack cannon	Атакуй гармату
attackdeathcaller	attack Deathcaller	Атакуй закликача смерті
attackdoomfire	attack doomfire spirit	Атакуй вогняний дух
attackfelblood	attack Fel Blood Globule	Атакуй кулю скверни
attackflesheater	Attack Flesh Eater	Атакуй пожирача плоті
attackhulkingterror	attack Hulking Terror	Атакуй жахіття
attackmindfungus	Attack Mind Fungus	Атакуй гриб розуму
attackshield	Attack Shield	Атакуй щит
attacksporeshooter	Attack Spore Shooter	Атакуй стрільця спор
attacktank	attack tank	Атакуй танк
attacktotem	attack totem	Атакуй тотем
attackturret	attack turret	Атакуй турель
attbomb	attack bomb	Атакуй бомбу
attleft	attack left	Атакуй зліва
attmid	attack middle	Атакуй в центрі
attright	attack right	Атакуй справа
backcenter	go to back center	Іди назад у центр
backleft	go to back left	Іди назад ліворуч
backright	go to back right	Іди назад праворуч
backtowhereyouwere	back to where you were	Повернись на місце
backward	face away from the team	Відвернись
bait	bait now	Приманюй зараз
banishment	Banishment on you	Вигнання на тобі
barrageonway	barrage run away	Обстріл, тікай
barrieryou	barrier on you	Бар'єр на тобі
beamincoming	beam incoming	Скоро промінь
beamyou	beam on you	Промінь на тобі
behindboss	Behind Boss	За босом
behindice	move behind ice	Сховайся за льодом
behindmob	Behind Mob	За мобом
bigball	big ball	Велика куля
bigmob	Big add	Великий ад
bigmobsoon	Big add incoming	Скоро великий ад
bitenow	bite now	Кусай зараз
bleedyou	bleed on you	Кровотеча на тобі
bloodfeast	Blood Feast	Кривавий бенкет
bluemushroomcoming	blue Mushroom coming	Скоро синій гриб
blueyou	blue on you	Синій на тобі
bombnow	detonate soon	Скоро вибух
bombrun	bomb on you, run	Бомба на тобі, тікай
bombsoon	bomb incoming	Скоро бомба
bombyou	Bomb on you	Бомба на тобі
bossout	get boss out	Виведи боса
bosstobeam	Move boss to beam	Веди боса до променя
bouncer	bouncer	Викидайло
boundingcleave	Bounding Cleave Coming	Скоро стрибучий розтин
breakchain	break chain	Розірви ланцюг
breakcoral	Break Coral	Зламай корал
breaklos	break line of sight	Сховайся за перешкоду
breaktormentfirst	break torment first	Розбивай муку першим
breaktormentsecond	break torment second	Розбивай муку другим
breaktormentthird	break torment third	Розбивай муку третім
